experiment,avg_waiting_time,avg_system_time,avg_queue_length,avg_utilization,sla_violations,sla_violation_rate,avg_active_servers,server_hours,scale_up_events,scale_down_events
Static c=2,14.378929678510707,14.578907120623796,100.31130434600746,0.6966535009559154,1201.79,0.6898486743799928,2.0,500.0,0.0,0.0
Static c=6,0.008736613859507376,0.20951920246410896,0.06130092764135833,0.23419074851495172,0.0,0.0,6.0,1500.0,0.0,0.0
Dynamic autoscaling,0.8563581240969631,1.0561499640711354,5.9484185656548165,0.48464537260575047,446.47,0.25613784254960736,2.8572,714.3,4.0,4.55
