workload,policy,system,avg_waiting_time,avg_system_time,avg_queue_length,sla_violation_rate,avg_active_servers,server_hours
step_spike,balanced,static_c2,14.378929678510701,14.578907120623796,100.31130434600743,0.6898486743799928,2.0,500.0
step_spike,balanced,static_c6,0.008736613859507374,0.20951920246410907,0.061300927641358284,0.0,6.0,1500.0
step_spike,balanced,dynamic,0.8563581240969634,1.0561499640711356,5.948418565654816,0.25613784254960736,2.8572000000000006,714.3
step_spike,aggressive,static_c2,14.378929678510701,14.578907120623796,100.31130434600743,0.6898486743799928,2.0,500.0
step_spike,aggressive,static_c6,0.008736613859507374,0.20951920246410907,0.061300927641358284,0.0,6.0,1500.0
step_spike,aggressive,dynamic,0.4108381012753419,0.6108017340764775,2.8687314340947747,0.14171374405165466,3.1611999999999996,790.3
step_spike,conservative,static_c2,14.378929678510701,14.578907120623796,100.31130434600743,0.6898486743799928,2.0,500.0
step_spike,conservative,static_c6,0.008736613859507374,0.20951920246410907,0.061300927641358284,0.0,6.0,1500.0
step_spike,conservative,dynamic,3.027278530287523,3.22737534002598,21.104213363366004,0.5530730256815403,2.7636000000000007,690.9
step_spike,queue_priority,static_c2,14.378929678510701,14.578907120623796,100.31130434600743,0.6898486743799928,2.0,500.0
step_spike,queue_priority,static_c6,0.008736613859507374,0.20951920246410907,0.061300927641358284,0.0,6.0,1500.0
step_spike,queue_priority,dynamic,1.5304345341570385,1.7302107633385457,10.618712198890675,0.3563295310217275,2.7476,686.9
step_spike,fast_response,static_c2,14.378929678510701,14.578907120623796,100.31130434600743,0.6898486743799928,2.0,500.0
step_spike,fast_response,static_c6,0.008736613859507374,0.20951920246410907,0.061300927641358284,0.0,6.0,1500.0
step_spike,fast_response,dynamic,0.4347392501302788,0.6346586078461163,3.037333444380384,0.15044528043347405,3.0767999999999995,769.2
gradual_ramp,balanced,static_c2,0.66864414432608,0.8681976422421311,4.181239569524829,0.2058561478442771,2.0,500.0
gradual_ramp,balanced,static_c6,0.0003929944580843775,0.20023063814686218,0.0023820106152585663,0.0,6.0,1500.0
gradual_ramp,balanced,dynamic,0.12584847475936534,0.32503143675788104,0.7540675018306322,0.023090635253090006,2.1720000000000015,543.0
gradual_ramp,aggressive,static_c2,0.66864414432608,0.8681976422421311,4.181239569524829,0.2058561478442771,2.0,500.0
gradual_ramp,aggressive,static_c6,0.0003929944580843775,0.20023063814686218,0.0023820106152585663,0.0,6.0,1500.0
gradual_ramp,aggressive,dynamic,0.07648018604929652,0.2762096111783072,0.4595844358503011,0.010375396777471745,2.4007999999999994,600.2
gradual_ramp,conservative,static_c2,0.66864414432608,0.8681976422421311,4.181239569524829,0.2058561478442771,2.0,500.0
gradual_ramp,conservative,static_c6,0.0003929944580843775,0.20023063814686218,0.0023820106152585663,0.0,6.0,1500.0
gradual_ramp,conservative,dynamic,0.21369494581297335,0.41256847339661495,1.27725203624448,0.054752142559440775,2.0127999999999995,503.2
gradual_ramp,queue_priority,static_c2,0.66864414432608,0.8681976422421311,4.181239569524829,0.2058561478442771,2.0,500.0
gradual_ramp,queue_priority,static_c6,0.0003929944580843775,0.20023063814686218,0.0023820106152585663,0.0,6.0,1500.0
gradual_ramp,queue_priority,dynamic,0.21386315493833635,0.41268223049303354,1.2774078453350892,0.054890192122552,1.999199999999999,499.8
gradual_ramp,fast_response,static_c2,0.66864414432608,0.8681976422421311,4.181239569524829,0.2058561478442771,2.0,500.0
gradual_ramp,fast_response,static_c6,0.0003929944580843775,0.20023063814686218,0.0023820106152585663,0.0,6.0,1500.0
gradual_ramp,fast_response,dynamic,0.09775194325021488,0.29741449706244594,0.587176991715221,0.014178326363031511,2.277200000000001,569.3
sudden_spike,balanced,static_c2,15.329936439448424,15.529509450228511,79.98418251886251,0.7470805380264243,2.0,500.0
sudden_spike,balanced,static_c6,0.011459576125643512,0.2113699943141397,0.06012922003764301,0.0,6.0,1500.0
sudden_spike,balanced,dynamic,12.390245121590944,12.590203219806721,64.73632638342168,0.7192286919634953,2.430000000000001,607.5
sudden_spike,aggressive,static_c2,15.329936439448424,15.529509450228511,79.98418251886251,0.7470805380264243,2.0,500.0
sudden_spike,aggressive,static_c6,0.011459576125643512,0.2113699943141397,0.06012922003764301,0.0,6.0,1500.0
sudden_spike,aggressive,dynamic,4.2594073942086945,4.458847267543887,22.195618229983584,0.6448040103097317,2.6079999999999983,652.0
sudden_spike,conservative,static_c2,15.329936439448424,15.529509450228511,79.98418251886251,0.7470805380264243,2.0,500.0
sudden_spike,conservative,static_c6,0.011459576125643512,0.2113699943141397,0.06012922003764301,0.0,6.0,1500.0
sudden_spike,conservative,dynamic,15.086006665637523,15.285740737085227,78.7158227434967,0.7307178049761238,2.2523999999999997,563.1
sudden_spike,queue_priority,static_c2,15.329936439448424,15.529509450228511,79.98418251886251,0.7470805380264243,2.0,500.0
sudden_spike,queue_priority,static_c6,0.011459576125643512,0.2113699943141397,0.06012922003764301,0.0,6.0,1500.0
sudden_spike,queue_priority,dynamic,8.636150273822368,8.8351243882099,44.93418502690654,0.702897305202451,2.4356,608.9
sudden_spike,fast_response,static_c2,15.329936439448424,15.529509450228511,79.98418251886251,0.7470805380264243,2.0,500.0
sudden_spike,fast_response,static_c6,0.011459576125643512,0.2113699943141397,0.06012922003764301,0.0,6.0,1500.0
sudden_spike,fast_response,dynamic,5.4113436411397355,5.610551307239108,28.107810947362022,0.6637757952080153,2.5800000000000005,645.0
repeated_spikes,balanced,static_c2,13.03656094567807,13.236370682299237,92.82704151899266,0.8517855064083801,2.0,500.0
repeated_spikes,balanced,static_c6,0.009576398179904827,0.20973837314997185,0.06838602240972814,0.0,6.0,1500.0
repeated_spikes,balanced,dynamic,4.287072464711297,4.487154404537428,30.528837853852284,0.5338041507590211,2.9419999999999984,735.5
repeated_spikes,aggressive,static_c2,13.03656094567807,13.236370682299237,92.82704151899266,0.8517855064083801,2.0,500.0
repeated_spikes,aggressive,static_c6,0.009576398179904827,0.20973837314997185,0.06838602240972814,0.0,6.0,1500.0
repeated_spikes,aggressive,dynamic,2.8621323814923767,3.062258091343076,20.391570320091695,0.4910411057497333,3.3371999999999984,834.3
repeated_spikes,conservative,static_c2,13.03656094567807,13.236370682299237,92.82704151899266,0.8517855064083801,2.0,500.0
repeated_spikes,conservative,static_c6,0.009576398179904827,0.20973837314997185,0.06838602240972814,0.0,6.0,1500.0
repeated_spikes,conservative,dynamic,6.43674626649876,6.636975240214668,45.76115383215421,0.6649193841178735,2.741600000000001,685.4
repeated_spikes,queue_priority,static_c2,13.03656094567807,13.236370682299237,92.82704151899266,0.8517855064083801,2.0,500.0
repeated_spikes,queue_priority,static_c6,0.009576398179904827,0.20973837314997185,0.06838602240972814,0.0,6.0,1500.0
repeated_spikes,queue_priority,dynamic,4.275889417753116,4.475901236676781,30.423538971479232,0.5363643188725298,2.9235999999999978,730.9
repeated_spikes,fast_response,static_c2,13.03656094567807,13.236370682299237,92.82704151899266,0.8517855064083801,2.0,500.0
repeated_spikes,fast_response,static_c6,0.009576398179904827,0.20973837314997185,0.06838602240972814,0.0,6.0,1500.0
repeated_spikes,fast_response,dynamic,3.004022709286779,3.2041967632742496,21.395489168587563,0.5061718586116113,3.271999999999998,818.0
bursty,balanced,static_c2,4.808761713700045,5.008551826037257,35.16358113557175,0.7172225463387426,2.0,500.0
