policy,policy_label,avg_waiting_time,avg_system_time,avg_queue_length,sla_violation_rate,server_hours,balanced_score,pareto_optimal,rank
aggressive,Aggressive,1.73427433344276,1.93408736994675,10.731892149254673,0.30295657955066374,741.94,0.2,True,1
fast_response,Fast-response,2.002718447706152,2.202532654803788,12.181514261670971,0.3124374791432235,723.3,0.22075270137382175,True,2
queue_priority,Queue-priority,3.3298062527482832,3.529199765639499,20.34621289444123,0.3978266876434239,645.28,0.4019358258678135,True,3
balanced,Balanced,3.926114352395737,4.125772340927757,23.25622499389184,0.3719287756347428,663.6400000000001,0.4947425117491401,True,4
conservative,Conservative,5.425678520308169,5.625450556396425,32.81990652979108,0.4744443296116178,627.3,0.8,True,5
