workload,workload_label,policy,policy_label,system,system_label,metric,mean,stddev,ci95,repetitions
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,sla_violations,0.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,sla_violation_rate,0.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,avg_active_servers,6.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,server_hours,1500.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,avg_waiting_time,0.4108381012753419,0.17842265953887174,0.03497084126961886,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,avg_system_time,0.6108017340764775,0.17940477720993872,0.035163336333147985,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,avg_queue_length,2.8687314340947747,1.2669901876173315,0.24833007677299695,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,avg_utilization,0.43981434976122846,0.023749973835847135,0.004654994871826038,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,sla_violations,247.23,133.5197828946798,26.169877447357237,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,sla_violation_rate,0.14171374405165466,0.07573976071707157,0.014844993100546027,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,avg_active_servers,3.1611999999999996,0.1794676752639496,0.03517566435173412,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,server_hours,790.3,44.86691881598738,8.793916087933527,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,scale_up_events,4.97,0.5587684871413406,0.10951862347970276,100
step_spike,Step spike,aggressive,Aggressive,dynamic,Dynamic - Aggressive,scale_down_events,5.65,0.6871842709362769,0.13468811710351028,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,avg_waiting_time,14.378929678510701,1.8983498266467271,0.3720765660227585,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,avg_system_time,14.578907120623796,1.9012084498977289,0.37263685617995485,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,avg_queue_length,100.31130434600743,14.5837629535125,2.85841753888845,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,avg_utilization,0.6966535009559152,0.02487947594755676,0.004876377285721125,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,sla_violations,1201.79,64.84111038499879,12.708857635459761,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,sla_violation_rate,0.6898486743799928,0.026599287042966976,0.005213460260421527,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,avg_active_servers,2.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,server_hours,500.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c2,Static c=2,scale_down_events,0.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,avg_waiting_time,0.008736613859507374,0.0034545743760873134,0.0006770965777131134,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,avg_system_time,0.20951920246410907,0.006564027804923327,0.001286549449764972,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,avg_queue_length,0.061300927641358284,0.024703885705169258,0.004841961598213174,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,avg_utilization,0.23419074851495175,0.008088430280738348,0.0015853323350247164,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,sla_violations,0.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,sla_violation_rate,0.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,avg_active_servers,6.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,server_hours,1500.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,scale_up_events,0.0,0.0,0.0,100
step_spike,Step spike,conservative,Conservative,static_c6,Static c=6,scale_down_events,0.0,0.0,0.0,100
