workload,workload_label,policy,policy_label,system,system_label,time,lambda,utilization,avg_queue_length,avg_active_servers,avg_waiting_time
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,170.0,5.0,0.1698243899244744,2.7380898021334587e-05,6.0,4.3461742891007285e-06
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,180.0,5.0,0.16982496328624383,0.0001013796217490892,6.0,1.823915982293324e-05
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,190.0,5.0,0.16789874084437795,6.0113927373919294e-05,6.0,1.0169985473962407e-05
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,200,5.0,0.1682993824644088,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,210.0,2.0,0.07036698774975944,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,220.0,2.0,0.06876493090221808,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,230.0,2.0,0.06437426705820411,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,240.0,2.0,0.0603743514938374,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,static_c6,Static c=6,250.0,2.0,0.0649539669758269,0.0,6.0,0.0
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,10.0,2.0,0.1998469789435168,0.0158877003220824,2.0,0.006703313575966509
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,20.0,2.0,0.25779610369182226,0.07312974519904286,1.65,0.03388358554244068
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,30.0,2.0,0.28944930551892456,0.1341117486777339,1.46,0.0642800422998845
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,40.0,2.0,0.35049493560617706,0.19801734039477012,1.27,0.0950832867936842
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,50,2.0,0.3732593240037687,0.20624851926676083,1.18,0.09337764875812495
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,60.0,8.0,0.9600270554239501,15.19306312217042,1.09,1.8722725362059505
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,70.0,8.0,0.9522936284854323,22.41755589139453,1.93,2.795812969720456
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,80.0,8.0,0.873791459733564,13.164036963102017,2.06,1.631806073578753
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,90.0,8.0,0.6637145971193266,4.650479957359273,2.68,0.6301823915956183
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,100,8.0,0.5800965599290686,1.2749977047889276,2.87,0.18395856657504076
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,110.0,18.0,0.9748588132779878,17.766582854381003,2.94,0.9840699505915859
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,120.0,18.0,0.9561911335433687,26.40946230838491,3.87,1.452350226335075
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,130.0,18.0,0.9198904743816815,22.878151649281378,3.94,1.2470739969740863
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,140.0,18.0,0.8070814991542434,14.633075580477941,4.75,0.8097721000916591
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,150,18.0,0.7347291990240863,7.6123251425177845,4.94,0.43197062258451724
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,160.0,5.0,0.22843509893444078,1.8328026314065886,5.09,0.2081051643292976
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,170.0,5.0,0.23454322291301538,0.020140704975759264,4.54,0.01293635371201959
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,180.0,5.0,0.24297803374374624,0.006229142975091322,4.17,0.0012168179223059983
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,190.0,5.0,0.2744202643129926,0.021332162698805942,3.82,0.003954546641038387
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,200,5.0,0.30013153782942376,0.02228255399529201,3.46,0.004208961560058849
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,210.0,2.0,0.1338611448546173,0.0014125177855614764,3.26,0.0006480082190574617
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,220.0,2.0,0.15286858819392438,0.010901188605740113,2.59,0.004285071863923937
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,230.0,2.0,0.17237319514495109,0.010552331274224318,2.31,0.004893785159205844
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,240.0,2.0,0.21539478100805393,0.06218626230294274,1.89,0.028167454552380792
step_spike,Step spike,balanced,Balanced,dynamic,Dynamic - Balanced,250.0,2.0,0.2676073803716794,0.09549841763182557,1.67,0.042271503209700724
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,10.0,2.0,0.1998469789435168,0.0158877003220824,2.0,0.006703313575966509
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,20.0,2.0,0.2011928422538066,0.015637011555838833,2.0,0.007605223290105507
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,30.0,2.0,0.18926741880291575,0.015150174182994205,2.0,0.0073212926688224
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,40.0,2.0,0.20456973140708054,0.01911369576719157,2.0,0.007817543918929953
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,50,2.0,0.2001466244048598,0.014701403065066475,2.0,0.006560730685687661
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,60.0,8.0,0.7553556174178978,2.1742488180241684,2.0,0.2589686362189313
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,70.0,8.0,0.7960556140317498,2.823379058077579,2.0,0.33643877799992966
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,80.0,8.0,0.8022741172046471,2.722060783896202,2.0,0.3305461818810199
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,90.0,8.0,0.8062987493153421,3.1174182142903772,2.0,0.37007121572094875
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,100,8.0,0.8075520296166858,3.111439933832514,2.0,0.37720030239867547
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,110.0,18.0,0.9956975567539758,42.10875210568371,2.0,2.326257262854715
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,120.0,18.0,1.0,118.30973528905807,2.0,6.639686369835016
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,130.0,18.0,1.0,197.81553851246204,2.0,10.946945044979925
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,140.0,18.0,1.0,277.8388964840274,2.0,15.364871669016493
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,150,18.0,1.0,357.22683644205955,2.0,19.76399891389015
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,160.0,5.0,1.0,371.680278687674,2.0,24.202199976631167
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,170.0,5.0,1.0,321.80779961340073,2.0,28.662089635081305
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,180.0,5.0,1.0,270.8410930561836,2.0,33.09056058054888
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,190.0,5.0,1.0,221.22668312512582,2.0,36.97735440050181
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,200,5.0,1.0,170.48561067347043,2.0,33.601854169114716
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,210.0,2.0,0.9838327164331656,104.38981405445813,2.0,24.012490392418
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,220.0,2.0,0.7458347114768193,35.4916334371557,2.0,12.924059812945819
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,230.0,2.0,0.33375030816194545,4.432466187633451,2.0,2.6692244207256066
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,240.0,2.0,0.19982229221294426,0.08259380522327066,2.0,0.09936768063353903
step_spike,Step spike,aggressive,Aggressive,static_c2,Static c=2,250.0,2.0,0.19484021546053187,0.015840383556205262,2.0,0.007863588473807694
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,10.0,2.0,0.06683169111568815,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,20.0,2.0,0.06722432306337306,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,30.0,2.0,0.06377873692532576,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,40.0,2.0,0.06954010778912473,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,50,2.0,0.06733323985754484,0.0,6.0,0.0
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,60.0,8.0,0.2661435903201292,0.0022649210337918214,6.0,0.000257945161743455
step_spike,Step spike,aggressive,Aggressive,static_c6,Static c=6,70.0,8.0,0.27110392149085405,0.0013781137769360398,6.0,0.0001632506958356534
